TCGA.02.0047.01A.01R.1849.01	TCGA.02.0055.01A.01R.1849.01	TCGA.02.2483.01A.01R.1849.01	TCGA.02.2485.01A.01R.1849.01	TCGA.02.2486.01A.01R.1849.01	TCGA.04.1348.01A.01R.1565.13	TCGA.04.1357.01A.01R.1565.13	TCGA.04.1362.01A.01R.1565.13	TCGA.04.1364.01A.01R.1565.13	TCGA.04.1365.01A.01R.1565.13
ABCC6P1|653190	-1.48259406542861	-2.13874955489938	-1.23927241780745	-1.0394941544635	-1.20924475768847	-0.932787365175501	-1.39806263442534	-0.85905473528865	-1.22318001889386	-1.5106638976671
ABCC6P2|730013	-1.35158137078652	-1.16124504804157	-0.857381421110488	-0.984662019653505	-0.702803057505619	-1.08588163028883	-1.10176400246432	-1.29688199973546	-0.683055272250599	-0.887634539491878
ABCC8|6833	-0.0734725507291466	-1.40550208445813	-0.548060372476256	-0.974480527041058	-1.74504834711645	-2.09384029336837	-2.14399944329214	-2.189589509857	-2.09305271116102	-2.11837842232664
ABCC9|10060	0.581683685665725	-0.244870044820518	0.0693072088663229	0.33771400771484	-0.0954399986720432	-0.669022755239113	-0.69886517877251	-1.00177706007699	-0.81566420492663	-0.593437831412776
ABCD1|215	0.234749137860034	0.44459643961888	0.344421322488229	0.282034062356324	0.473165948780628	0.522236320800476	0.603219920346516	0.487324591311892	0.516345524684512	0.558949741094066
ABCD2|225	-0.164641126196403	-0.890321477735367	-0.674951545372374	0.289739054600645	-0.666699211253434	-1.07915896788093	-0.618244999977577	-1.81749340391724	-1.55182444493861	-1.41146320754829
ABCD3|5825	0.927431181872813	0.633253143160153	0.852830305411264	1.10496699149985	0.800801128380673	0.559734808509343	0.400304874831815	0.64865528564028	0.486203971634973	0.693277918131596
ABCD4|5826	0.640778127245264	0.407455560551171	0.499244489504219	0.662758003548603	0.802056128392086	0.49264255083158	0.385321506996057	0.490867572188181	0.6497077862511	0.526203511350751
ABCE1|6059	0.720424842740661	1.0153517199424	0.946475258683939	0.740905095972821	0.878735805783682	1.01260600175187	0.752335181203201	0.828437822544671	1.01929603733829	0.983430933888413
ABCF1|23	0.870071657587269	0.946593180248438	1.0710084814979	0.952025009806329	0.883919833938414	1.22727130717005	1.03468087104372	1.0670282598067	1.26602620133906	1.11977283464887
ABCF2|10061	0.798888965449915	1.04411342632365	0.913549953154316	1.1132964614205	1.00122819584387	0.97536465479586	0.90026249149298	0.991755049654105	1.08078031589549	0.894803910424748
ABCF3|55324	0.6982185804805	0.671325465179183	0.697239045015237	0.697133737426107	0.7695114770701	1.08892886835849	0.887648564460595	1.150653881978	1.0466114181102	1.065983457533
