TCGA.02.0047.01A.01R.1849.01	TCGA.02.0055.01A.01R.1849.01	TCGA.02.2483.01A.01R.1849.01	TCGA.02.2485.01A.01R.1849.01	TCGA.02.2486.01A.01R.1849.01	TCGA.04.1348.01A.01R.1565.13	TCGA.04.1357.01A.01R.1565.13	TCGA.04.1362.01A.01R.1565.13	TCGA.04.1364.01A.01R.1565.13	TCGA.04.1365.01A.01R.1565.13
ABCC5|10057	768.309	709.741	727.81	862.381	455.488	1358.2586339449	801.679426457036	1687.32845610261	970.99762237382	769.608501219933
ABCC6|368	21.5126	23.5459	30.3958	8.0952	26.2195	48.7591960393082	80.5558122556479	35.2009641296755	54.7067613820538	27.3152142481558
ABCC6P1|653190	6.1465	0.5606	8.4433	16.6667	9.1463	16.3563515593101	5.03918505587378	22.5804392290709	7.44492441740948	3.36863088977432
ABCC6P2|730013	8.6051	13.4548	22.3747	19.0476	32.9268	10.9131269413163	11.3366161949177	7.33486225082158	30.7644417023748	18.80741759707
ABCC8|6833	170.872	7.288	47.7045	19.5238	1.8293	0	0	0	0	0
ABCC9|10060	752.943	115.487	209.815	421.905	143.293	32.1921193062279	31.5852959063294	15.8005121220593	21.9448417697438	39.4409419562626
ABCD1|215	343.588	558.935	404.011	370.952	558.537	619.496562602542	751.097626965966	576.362655485098	600.939889811817	661.346918566833
ABCD2|225	138.91	25.7884	35.0396	377.619	35.9756	11.111624867378	38.5757455280866	1.42017390029583	2.7715592779177	4.55741152682352
ABCD3|5825	1644.18	859.425	1352.61	2479.52	1220.73	679.409122633009	460.13376857247	845.981774605787	558.044123386082	916.542858729419
ABCD4|5826	860.506	513.525	583.852	893.809	1224.39	575.961923278741	443.774307272701	581.242033256377	833.856314165283	610.759896065942
ABCE1|6059	1030.15	2052.98	1689.5	1070.48	1470.12	2070.20725665919	1076.44323322737	1297.17719688824	2065.80867029004	1854.06421845316
ABCF1|23	1444.42	1755.29	2270.82	1742.38	1488.41	3509.63064576122	2127.15722987518	2287.01511583715	3784.46589106362	2581.38884535812
ABCF2|10061	1229.91	2192.01	1562.43	2527.62	1968.9	1889.02398935891	1538.11411536193	1912.41254713229	2402.22177046842	1495.14317567028
